Name,Abarenicola claparedi,Abra alba,Abra prismatica,Abyssoninoe hibernica,Acanthocardia aculeata,Acanthocardia paucicostata,Acanthocardia tuberculata,Achelia echinata,Acrocnida brachiata,Acteon tornatilis,Alkmaria romijni,Allomelita pellucida,Ammothella longipes,Ampelisca brevicornis,Ampelisca cavicoxa,Ampelisca sarsi,Ampelisca tenuicornis,Ampharete finmarchica,Amphipholis squamata,Anapagurus hyndmanni,Angulus pygmaeus,Anomia sp.,Anomiidae,Antalis novemcostata,Anthozoa,Anthura gracilis,Anurida maritima,Aonides oxycephala,Aonides paucibranchiata,Aoridae,Aphelochaeta sp.,Aponuphis bilineata,Arenicolidae,Aricidea catherinae,Aricidea cerrutii,Aricidea suecica meridionalis,Armandia cirrhosa,Asbjornsenia pygmaea,Aspidosiphon muelleri,Austrominius modestus,Autolytus sp.,Autonoe spiniventris,Balanus sp.,Barnea candida,Bathyporeia elegans,Bathyporeia pelagica,Bathyporeia pilosa,Beania magellanica,Bela nebula,Bittium reticulatum,Bivalvia,Boccardia semibranchiata,Boccardiella ligerica,Boccardiella sp.,Bodotria scorpioides,Branchiomaldane sp.,Brania pusilla,Brania sp.,Brissopsis lyrifera,Capitella capitata,Capitella minima,Carcinus maenas,Caulleriella alata,Caulleriella sp.,Cavernularia pusilla,Centraloecetes kroyeranus,Cerastoderma edule,Cerastoderma glaucum,Cerastoderma sp.,Cerebratulus marginatus,Cerebratulus sp.,Cerianthus sp.,Chaetozone gibber,Chaetozone setosa,Chamelea striatula,Cirripedia,Cirrophorus furcatus,Cirrophorus nikebianchii,Collembola,Copepoda,Corbula gibba,Corophium multisetosum,Corophium sp.,Corophium urdaibaiense,Corophium volutator,Cossura pygodactylata,Cossura sp.,Crassostrea gigas,Cumopsis fagei,Cyathura carinata,Cylichna cylindracea,Decapoda,Desdemona ornata,Diastylis bradyi,Diastylis laevis,Diogenes pugilator,Diopatra micrura,Diopatra neapolitana,Diopatra sp.,Diplocirrus glaucus,Diptera,Dispio uncinata,Donax variegatus,Dosinia lupinus,Ebalia sp.,Echinocardium cordatum,Echiura,Edwardsia sp.,Edwardsiidae,Elminius modestus,Euclymene collaris,Euclymene oerstedi,Euclymene oerstedii,Euclymene sp.,Euglesa casertana,Eulimella sp.,Eumida bahusiensis,Eumida sanguinea,Eumida sp.,Eurydice affinis,Eurydice naylori,Eurydice pulchra,Eurydice sp.,Euspira nitida,Exogone dispar,Fabulina fabula,Ficopomatus enigmaticus,Galathowenia oculata,Gallardoneris iberica,Gammarus chevreuxi,Gammarus sp.,Gari costulata,Gari sp.,Gastropoda,Gastrosaccus sanctus,Glycera convoluta,Glycera fallax,Glycera sp.,Glycera tridactyla,Glycera unicornis,Golfingia sp.,Goniada maculata,Goniadella gracilis,Goodallia triangularis,Gouldia minima,Grandidierella japonica,HALACARIDAE,Harpinia pectinata,Haustorius arenarius,Hediste diversicolor,Hemigrapsus takanoi,Hesionidae,Heteromastus filiformis,Heterotanais oerstedi,Hippomedon denticulatus,Hyala vitrea,Idotea chelipes,Insecta,Iphinoe tenella,Kirkegaardia sp.,Kurtiella bidentata,Lagis koreni,Laonice cirrata,Lekanesphaera hookeri,Lekanesphaera rugicauda,Lekanesphaera sp.,Lepidochitona cinerea,Leptocheirus pilosus,Leptognathiidae,Leptopentacta elongata,Leptosynapta galliennii,Leptosynapta inhaerens,Levinsenia gracilis,Lithophaga lithophaga,Loripes lucinalis,Loripes orbiculatus,Lucinella divaricata,Lucinidae,Lumbrineris lusitanica,Macomangulus tenuis,Macropodia linaresi,Mactra stultorum,Magelona alleni,Magelona filiformis,Magelona johnstoni,Magelona sp.,Malacoceros fuliginosus,Malacoceros girardi,Malacoceros sp.,Maldane glebifex,Maldanidae,Malmgrenia andreapolis,Malmgrenia sp.,Manayunkia aestuarina,Mangelia sp.,Manzonia crassa,Mediomastus fragilis,Melarhaphe neritoides,Melinna palmata,Melita hergensis,Melita palmata,Melita sp.,Microphthalmus pseudoaberrans,Microphthalmus sp.,Microspio atlantica,Moerella donacina,Monia patelliformis,Monocorophium acherusicum,Monocorophium insidiosum,Monocorophium sp.,Montacuta substriata,Myosotella myosotis,Mysta picta,Mytilaster minimus,Mytilidae,Mytilus galloprovincialis,Neanthes caudata,Nematoda,NEMERTEA,Nephtys assimilis,Nephtys cirrosa,Nephtys hombergii,Nephtys hystricis,Nephtys incisa,Nephtys kersivalensis,Nereis lamellosa,Nereis sp.,Notomastus latericeus,Nototropis falcatus,Nototropis swammerdamei,Nucula sulcata,Odostomia sp.,Oligochaeta,Onuphis eremita,Onuphis sp.,Ophelia bicornis,Ophelia neglecta,Ophiodromus flexuosus,Ophiura ophiura,Ophryotrocha sp.,Orbinia sp.,OSTRACODA,Ostrea edulis,Oudardia compressa,Owenia fusiformis,Palaemon serratus,Pandora inaequivalvis,Papillicardium papillosum,Paradoneis armata,Paradoneis ilvana,Paradoneis lyra,Paragnathia formica,Paramphitrite tetrabranchia,Paraonis fulgens,Parapionosyllis elegans,Parapionosyllis minuta,Pariambus typicus,Parvicardium ovale,Parvicardium scabrum,Parvicardium sp.,Pectinaria auricoma,Peringia ulvae,Perioculodes longimanus,Petricolaria pholadiformis,Phascolion strombus,Philine sp.,Phoronis sp.,Phtisica marina,Phyllodoce groenlandica,Phyllodoce laminosa,Phyllodoce lineata,Phyllodoce maculata,Phyllodoce mucosa,Phyllodoce sp.,Phyllodocidae,Phylo foetida,Pilargis verrucosa,Pionosyllis anophthalma,Pisidia sp.,Platyhelminthes,Podarkeopsis capensis,Podarkeopsis sp.,Podocoryna carnea,Poecilochaetus serpens,Polititapes rhomboides,Polycirrus sp.,Polydora ciliata,Polydora cornuta,Polydora flava,Polydora sp.,Polynoidae,Potamopyrgus antipodarum,Prionospio fallax,Prionospio multibranchiata,Prionospio pulchra,Prionospio sp.,Prosphaerosyllis sp.,Prosphaerosyllis tetralix,Protodorvillea kefersteini,Pseudomystides limbata,Pseudopolydora paucibranchiata,Pseudopolydora pulchra,Pseudopythina macandrewi,Pygospio elegans,Retusa sp.,Ringicula auriculata,Ringicula conformis,Ringicula sp.,Ruditapes decussatus,Ruditapes philippinarum,Ruditapes sp. ,Sabellaria spinulosa,Scalibregma inflatum,Schistomeringos caeca,Schistomeringos rudolphi,Schistomeringos rudolphii,Schistomeringos sp.,Schistomysis kervillei,Scolelepis bonnieri,Scolelepis sp.,Scolelepis squamata,Scoloplos sp.,Scoloplos typicus,Scrobicularia plana,Semelidae,Serratina serrata,Sigalion mathildae,Solen marginatus,Solenidae,Sphaerosyllis sp.,Spio decoratus,Spio martinensis,Spio sp.,Spiochaetopterus costarum,Spionidae,Spiophanes bombyx,Spiophanes kroyeri,Spisula elliptica,Spisula sp.,Spisula subtruncata,Sternaspis scutata,Sthenelais boa,Sthenelais limicola,Streblosoma sp.,Streblospio benedicti,Streblospio shrubsolii,Streptosyllis websteri,Syllidia armata,Syllis gracilis,Syllis parapari,Syllis rosea,Syllis sp.,Synchelidium haplocheles,Tanystylum conirostre,Tapes sp.,Tellimya ferruginosa,Tellina serrata,Terebellidae,Terebellides stroemii,Terebellinae,Teredo navalis,Tharyx killariensis,Theora lubrica,Thracia phaseolina,Thyasira flexuosa,Trematoda,Tritia incrassata,Tritia neritea,Tritia nitida,Tritia pygmaea,Tritia reticulata,Tubulanus polymorphus,Upogebia deltaura,Upogebia pusilla,Upogebia sp.,Urothoe brevicornis,Urothoe grimaldii,Urothoe pulchella,Urothoe sp.,Venerida,Veneridae,Venus casina,Virgularia sp.,Vitreolina philippi,Xenostrobus securis
EM05_S_Wi2016,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,791,0,0,0,0,0,0,0,0,0,0,140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EM05_S_Wi2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EN10_S_Wi2015,0,0,0,0,0,0,0,0,0,0,0,3.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.33
EN10_S_Wi2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EN10_S_Wi2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17
EN10_S_Wi2013,0,0,0,0,0,0,0,0,0,0,3.3333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.3333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.3333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.6666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.3333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.3333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EN10_S_Wi2016,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,63,0,0,0,20,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,327,0,0,0,0,0,0,0,0,0,0,0,0,0,57,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
EN10_S_Wi2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EN15_S_Wi2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EN15_S_Wi2018,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,3,0,0,0,0,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,243,0,0,0,27,0,0,0,0,0,0,0,0,0,0,40,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,27,0,0,0,0,0,10,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,7,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,3,0,0,3,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0
EN15_S_Wi2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,7,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,120,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1310,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EN15_S_Wi2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.6666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.3333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.3333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.3333333333,13.3333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.3333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,13.3333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.6666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.3333333333
